#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:29:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:29:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:29:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:29:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:30:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:30:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:30:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:30:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:30:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:30:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:31:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:31:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:31:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:31:30Z,0,usage_guest,cpu,cpu-total,MyLord
